branch_id,branch_name,location
1,Kotak Mumbai Main,Mumbai
2,Kotak Delhi Central,Delhi
3,Kotak Bangalore Tech,Bangalore
4,Kotak Hyderabad City,Hyderabad
5,Kotak Chennai Coast,Chennai
6,Kotak Kolkata East,Kolkata
7,Kotak Pune West,Pune
8,Kotak Ahmedabad North,Ahmedabad
9,Kotak Jaipur Heritage,Jaipur
10,Kotak Lucknow Central,Lucknow
11,Kotak Chandigarh Sector 17,Chandigarh
12,Kotak Bhopal Lakeview,Bhopal
13,Kotak Surat Diamond,Surat
14,Kotak Nagpur Orange,Nagpur
15,Kotak Indore Trade,Indore
16,Kotak Patna Historic,Patna
17,Kotak Coimbatore Textile,Coimbatore
18,Kotak Vizag Port,Visakhapatnam
19,Kotak Thane Suburban,Thane
20,Kotak Agra Taj,Agra
